TEMP,SOUND,CO2,ID,RYTHM,ILLUM,HUMID
21.85,23.51,482.6,1320,76.21,346.86,65.78
22.5,24.54,512.45,1345,80.94,398.55,72.82
20.23,33.98,585.78,1348,84.63,408.64,68.72
17.76,42.76,502.96,1364,77.25,433.43,69.97
22.57,30.52,476.3,1390,84.83,443.56,63.87
18.53,31.95,555.52,1391,89.6,534.52,60.12
21.63,28.44,486.31,1409,64.75,375.88,61.13
17.81,24.08,577.77,1416,76.49,343.16,76.32
19.24,38.84,526.35,1429,85.45,573.03,67.68
19.94,35.95,376.17,1447,69.34,488.88,65.73
22.49,33.0,470.9,1460,87.21,275.1,63.1
22.26,34.45,470.54,1480,76.67,436.96,65.52
22.21,30.22,529.45,1503,90.85,565.81,69.49
19.75,23.04,498.64,1506,76.81,513.02,73.42
20.54,28.08,491.28,1517,75.28,366.1,73.31
20.25,33.54,469.66,1528,76.19,484.67,62.18
19.93,22.1,534.83,1529,91.26,369.28,78.53
19.81,33.28,556.21,1547,89.06,273.77,65.93
19.61,40.75,444.93,1553,82.33,602.56,57.02
20.93,36.22,594.66,1586,86.76,415.15,66.21
17.33,28.54,474.15,1594,80.0,568.06,62.14
19.76,22.42,520.91,1599,67.77,324.47,74.85
22.0,28.82,409.08,1629,81.37,409.32,57.98
21.68,40.51,478.75,1643,84.33,368.51,67.26
18.96,29.43,511.88,1645,79.0,424.88,71.02
18.97,30.78,531.84,1690,87.45,555.74,66.67
20.62,35.38,535.52,1699,80.15,373.49,65.72
21.52,32.21,543.36,1706,91.27,474.99,54.99
19.1,28.32,472.07,1709,73.52,350.74,70.38
19.8,26.38,544.01,1715,84.44,514.9,76.64
20.79,34.36,573.65,1721,85.23,414.51,66.17
19.64,30.76,444.66,1729,73.09,679.26,68.44
20.16,33.08,580.43,1756,81.07,323.45,65.37
20.6,37.23,543.28,1765,80.57,273.79,63.45
17.62,22.36,540.21,1774,80.63,331.27,75.34
18.93,34.72,501.11,1786,85.38,473.09,63.35
17.81,26.15,516.58,1791,76.87,375.67,75.27
21.95,25.87,487.95,1798,80.23,390.77,66.19
19.95,29.68,535.23,1842,82.52,590.07,67.96
21.08,14.15,467.88,1852,70.74,428.92,75.12
20.2,24.64,399.77,1859,70.39,388.08,64.85
21.64,26.27,454.9,1868,84.9,656.05,73.12
20.58,36.93,502.05,1874,88.69,364.55,66.72
20.93,19.76,512.64,1885,77.64,380.57,68.12
17.78,24.78,515.23,1895,74.87,356.82,67.66
19.76,19.51,526.4,1920,75.19,423.21,65.14
16.95,24.9,454.66,1926,72.39,385.93,59.69
18.61,22.62,583.38,1949,88.29,436.38,66.8
20.62,34.36,509.9,1954,73.58,441.52,64.66
20.73,29.87,518.61,1957,82.53,262.12,65.89
23.02,32.03,524.55,1963,92.76,423.19,59.68
21.57,35.3,513.72,1991,86.35,447.45,69.47
20.7,28.56,512.72,2015,86.59,527.51,67.55
21.02,21.08,494.28,2019,80.35,596.74,62.56
22.07,35.7,434.37,2028,85.08,518.8,61.18
17.74,32.93,526.05,2034,84.58,632.09,71.43
21.59,18.65,591.38,2055,79.65,259.4,65.23
17.06,31.93,437.39,2061,73.78,552.49,65.44
18.78,24.26,542.11,2069,72.33,483.85,74.35
20.2,32.5,505.54,2086,76.48,416.73,66.95
20.48,37.44,454.6,2087,72.77,510.24,64.39
18.84,38.93,475.39,2117,81.13,469.85,66.44
18.69,19.95,425.63,2123,73.57,471.62,78.06
20.02,49.42,542.56,2130,86.63,549.73,63.93
17.87,31.84,426.82,2135,79.96,265.12,68.81
22.36,33.47,464.66,2157,85.37,431.28,64.54
18.34,28.23,474.95,2212,78.79,392.45,76.26
18.93,28.72,601.42,2233,95.84,432.31,73.57
17.75,25.28,555.49,2235,85.32,285.06,67.72
18.83,12.48,529.04,2250,72.89,594.93,72.56
20.99,28.5,457.68,2251,70.76,387.6,74.04
20.87,30.72,458.05,2271,81.99,455.65,68.41
20.37,32.47,464.01,2307,79.2,394.19,62.79
22.43,23.27,490.03,2332,86.6,600.47,74.56
22.2,37.63,545.39,2359,86.01,483.93,60.77
18.75,26.7,474.41,2369,74.56,348.91,69.48
18.9,29.29,433.3,2386,74.38,470.8,75.5
17.89,39.12,556.77,2398,69.67,559.83,81.52
20.99,37.78,510.5,2400,87.46,400.65,68.7
21.29,34.83,525.78,2407,76.92,391.01,59.69
